affiliation	freq	lat	lng
2nd Dep of Internal Medicine, Osaka Medical Collage, Takatsuki, Japan	102	34.851811	135.625421
2nd Department of Cardiology, Onassis Cardiac Surgery Center, Athens, Greece	146	37.9838096	23.7275388
2nd Department of Neurology, Institute of Psychiatry and Neurology, Warsaw, Poland	139	52.1727497	21.0647629
3-Dimensional Pharmaceuticals, Inc. (Exton, PA)	142	40.0325817	-75.6274583
302 Hospital of PLA	175	N/A	N/A
3COM Corporation (Santa Clara, CA)	190	37.3541079	-121.9552356
3Com Corporation (Marlborough, MA)	111	42.3459271	-71.5522874
3Com Corporation (Marlborough, MA, US)	478	42.3459271	-71.5522874
3Com Corporation (Rolling Meadows, IL)	103	42.0841936	-88.0131275
3Com Corporation (Santa Clara, CA)	2068	37.3541079	-121.9552356
3Com Corporation (Santa Clara, CA, US)	146	37.3541079	-121.9552356
3D SYSTEMS, INC.	145	45.3245769	-122.764087
3D Systems, Inc. (333 Three D Systems Circle, Rock Hill, SC 29730, US)	130	34.9504965	-80.9492784
3D Systems, Inc. (Rock Hill, SC, US)	188	34.9504965	-80.9492784
3D Systems, Inc. (Valencia, CA)	301	34.4538881	-118.5790883
3M	1091	37.8343516	-94.330304
3M Company	171	36.3164431	-94.1917397
3M INNOVATIVE PROPERTIES CO (US)	898	36.3164431	-94.1917397
3M INNOVATIVE PROPERTIES CO.	1281	45.0325431	-93.0941242
3M INNOVATIVE PROPERTIES CO., SAINT PAUL	452	44.94	-93.08999999999999
3M INNOVATIVE PROPERTIES CO., ST. PAUL	321	44.94	-93.08999999999999
3M INNOVATIVE PROPERTIES COMPANY	1173	45.0325431	-93.0941242
3M INNOVATIVE PROPERTIES COMPANY (SAINT PAUL, MN, US)	147	44.96182839999999	-93.0000756
3M INNOVATIVE PROPERTIES COMPANY (ST. PAUL, MN, US)	255	44.96182839999999	-93.0000756
3M INNOVATIVE PROPERTIES COMPANY (Saint Paul, MN, US)	1295	44.96182839999999	-93.0000756
3M INNOVATIVE PROPERTIES COMPANY (St. Paul, MN, US)	4234	44.96182839999999	-93.0000756
3M Innovative Properties Company	3247	45.0325431	-93.0941242
3M Innovative Properties Company (3M Center #N#P.O.Box 33427, St. Paul MN 55133-3427, US)	505	44.9581946	-93.0024097
3M Innovative Properties Company (3M Center P.O.Box 33427, St. Paul MN 55133-3427, US)	505	44.9581946	-93.0024097
3M Innovative Properties Company (3M Center P.O.Box 33427, St. Paul, MN 55133-3427, US)	2284	44.9581946	-93.0024097
3M Innovative Properties Company (3M Center Post Office Box 33427, Saint Paul, MN 55133-3427, US)	3515	44.9581946	-93.0024097
3M Innovative Properties Company (3M Center, #N#P.O. Box 33427, St. Paul, MN 55133-3427, US)	671	44.9581946	-93.0024097
3M Innovative Properties Company (3M Center, P.O. Box 33427, Saint Paul, MN, 55133-3427, US)	173	44.964417	-93.06226699999999
3M Innovative Properties Company (3M Center, P.O. Box 33427, St. Paul, MN 55133-3427, US)	415	44.9581946	-93.0024097
3M Innovative Properties Company (3M Center, P.O. Box 33427, St. Paul, MN, 55133-3427, US)	347	44.9581946	-93.0024097
3M Innovative Properties Company (3M Center, Post Office Box 33427, Saint Paul, MN 55133-3427, US)	360	44.9581946	-93.0024097
3M Innovative Properties Company (3M Center, Saint Paul, MN 55133-3427, US)	119	44.9581946	-93.0024097
3M Innovative Properties Company (P.O.Box 33427, St. Paul, Minnesota 55133-3427, US)	103	44.94	-93.08999999999999
3M Innovative Properties Company (Saint Paul, MN)	308	44.94	-93.08999999999999
3M Innovative Properties Company (Saint Paul, MN, US)	1150	44.96182839999999	-93.0000756
3M Innovative Properties Company (St. Paul, MN)	3418	44.94	-93.08999999999999
3M Innovative Properties Company (St. Paul, MN, US)	6734	44.96182839999999	-93.0000756
3form, Inc. (Salt Lake City, UT, US)	208	40.74895720000001	-111.98036
4. Physikalisches Institut, UniversitaÂ¨t Stuttgart, Pfaffenwaldring 57, D-70550 Stuttgart, Germany	152	N/A	N/A
<sup>a,b,c</sup>	266	N/A	N/A
<sup>a,b</sup>	1245	N/A	N/A
<sup>a,c</sup>	239	N/A	N/A
<sup>a,d</sup>	129	36.340452	-94.25156199999999
<sup>b,c</sup>	193	N/A	N/A
<sup>b</sup>	7648	N/A	N/A
<sup>c,d</sup>	101	N/A	N/A
<sup>c</sup>	6430	N/A	N/A
<sup>d</sup>	5679	N/A	N/A
A 1 - Climate Variability and Predictability, Research Area A: Climate Dynamics and Variability, The CliSAP Cluster of Excellence, External Organizations	163	53.57297000000001	9.977599999999999
A 3 - Climate Sensitivity and Sea Level, Research Area A: Climate Dynamics and Variability, The CliSAP Cluster of Excellence, External Organizations	208	53.57297000000001	9.977599999999999
A&F Accounting & Finance	728	N/A	N/A
A-T-O Inc. (Willoughby, OH)	102	41.6397696	-81.4065011
A. A. Baikov Institute of Metallurgy, Academy of Sciences of the USSR, Moscow, 	177	55.7107897	37.5778246
A. AHLSTROM CORPORATION (Noormarkku, FIN-29600, FI)	129	61.5926845	21.8684224
A. Ahlstrom Corporation (Noormarkku, FI)	196	61.5926845	21.8684224
A. B. Chance Company (Centralia, MO)	154	39.2138701	-92.12836709999999
A. C. Camargo Cancer Center	101	-23.5655142	-46.6354583
A. D. Patel Institute of Technology	191	22.5215561	72.9164636
A. E. Arbuzov Institute of Organic and Physical Chemistry, Academy of Sciences of the USSR, USSR	1232	55.7107897	37.5778246
A. E. Arbuzov Institute of Organic and Physical Chemistry, Kazan Branch of the Academy of Sciences of the USSR, USSR	1083	55.8140104	49.1861448
A. E. Arbuzov Institute of Organic and Physical Chemistry, Kazan Branch, Academy of Sciences of the USSR, USSR	1321	55.8304307	49.06608060000001
A. E. Arbuzov Institute of Organic and Physical Chemistry, Kazan' Branch of the Academy of Sciences of the USSR, USSR	255	55.8140104	49.1861448
A. E. Arbuzov Institute of Organic and Physical Chemistry, Kazan' Branch, Academy of Sciences of the USSR, USSR	308	55.8304307	49.06608060000001
A. E. Favorsky Inst. Chem., Sib. Branch, Russ. Acad. Sci., Irkutsk 664033, Russia	335	52.24698619999999	104.2729347
A. E. Staley Manufacturing Company (Decatur, IL)	323	39.8442013	-88.9615132
A. F. Ioffe Physico-Technical Institute, 194021 St. Petersburg, Russia	113	60.0065365	30.3684494
A. F. Ioffe Physicotechnical Institute, Academy of Sciences of the USSR, Leningrad, 	141	55.7107897	37.5778246
A. F. Ioffe PhysicoâTechnical Institute, Academy of Sciences of the USSR, Leningrad	1068	N/A	N/A
A. H. Robins Company, Inc. (Richmond, VA)	117	37.5407246	-77.4360481
A. H. Robins Company, Incorporated (Richmond, VA)	206	37.5407246	-77.4360481
A. L. Mndzhoyan Institute of Fine Organic Chemistry, Academy of Sciences of the Armenian SSR, Erevan, 	536	32.3182314	-86.902298
A. M. Butlerov Chemical Institute of the V. I. Ul'yanov-Lenin Kazan State University, USSR	126	55.7925529	49.1197751
A. M. Butlerov Chemical Institute, USSR	124	N/A	N/A
A. M. Butlerov Chemical Institute, V. I. Ul'yanov-Lenin Kazan State University, USSR	141	55.790447	49.1214349
A. M. Gor'kii Khar'kov State University, USSR	115	49.9935	36.230383
A. M. Prokhorov General Physics Institute (Russian Federation)	176	N/A	N/A
A. Mickiewicz University	452	52.4083974	16.9154021
A. N. Nesmeyanov Institute of Hetero-organic Compounds, U.S.S.R. Academy of Sciences, USSR	100	55.7107897	37.5778246
A. N. Nesmeyanov Institute of Heteroorganic Chemistry, Academy of Sciences of the USSR, Moscow, 	178	55.7107897	37.5778246
A. N. Nesmeyanov Institute of Heteroorganic Compounds, Academy of Sciences of the USSR, Moscow, 	5231	55.7107897	37.5778246
A. N. Nesmeyanov Institute of Heteroorganic Compounds, Academy of Sciences of the USSR, USSR	185	55.7107897	37.5778246
A. N. Nesmeyanov Institute of Organoelement Compounds	5171	55.699949	37.5750069
A. N. Nesmeyanov Institute of Organoelemental Compounds, Academy of Sciences of the USSR, Moscow, 	209	55.699949	37.5750069
A. N. Nesmeyanov Institute of Organometallic Compounds, Academy of Sciences of the USSR, Moscow, 	313	55.7107897	37.5778246
A. NATTERMANN & CIE GMBH	175	50.9766753	6.8585631
A. NATTERMANN & CIE. GMBH	197	50.9766753	6.8585631
A. Nattermann & Cie GmbH (Cologne, DE)	116	50.9784278	6.856395300000001
A. O. Smith Water Products Company	233	36.2700004	-87.06645189999999
A. RAYMOND ET CIE (Grenoble, FR)	207	45.1924749	5.729968599999999
A. Raymond et Cie (Grenoble, FR)	136	45.1924749	5.729968599999999
A. S. Sadykov Institute of Bioorganic Chemistry, Academy of Sciences of the Republic of Uzbekistan, Tashkent, 	202	41.3436559	69.3443037
A. V. C. College	174	34.6769819	-118.1862581
A. V. Lykov Institute of Heat and Mass Transfer, Academy of Sciences of the Belorussian SSR, Minsk, 	819	53.90453979999999	27.5615244
A. V. Shubnikov Institute of Crystallography, Academy of Sciences of the USSR, Moscow	164	55.7107897	37.5778246
A. V. Topchiev Institute of Petrochemical Synthesis, Academy of Sciences of the USSR, Moscow, 	1123	55.7140569	37.5906511
A. V. Topchiev Institute of Petrochemical Synthesis, Academy of Sciences of the USSR, USSR	468	55.7140569	37.5906511
A. V. Topchiev Institute of Petrochemical Synthesis, U.S.S.R. Academy of Sciences USSR	214	55.7140569	37.5906511
A. V. Topchiev Institute of Petrochemical Synthesis, U.S.S.R. Academy of Sciences, USSR	134	55.7140569	37.5906511
A. V. Topchiyev Institute of Petrochemical Synthesis, U.S.S.R. Academy of Sciences USSR	114	55.7140569	37.5906511
A. V. Topchiyev Institute of Petrochemical Synthesis, U.S.S.R. Academy of Sciences, USSR	122	55.7140569	37.5906511
A.C. Camargo Cancer Center	133	-23.5655142	-46.6354583
A.C. Camargo Cancer Center, SÃ£o Paulo, Brazil	135	N/A	N/A
A.C. Camargo Cancer Center, SÃ£o Paulo, Brazil;	156	N/A	N/A
A.F. Ioffe Phys. Tech. Inst., St. Petersburg, Russia	122	59.9342802	30.3350986
A.F. Ioffe Physical-Technical Institute (Russia)	603	N/A	N/A
